"","app_id","disp_income","occ_code","cust_age","time_emp","res_indicator","I_01","I_02","I_03","I_04","D_01","ER_01","ER_02","I_05","D_02","I_06","P_01","S_01","CA_03","CA_02","CA_01","S_02"
"11900",6013,1,"SB",19,1,"P",1.28,184,12.8966666666667,1.03,34.51,7.93,0.94,12.49,87.75,0,60.6697265625,1.04,0,0.75999999999938,4,-1
"11901",6126,0,"SO",20,1,"R",1.276,248,23.83,1.02,56.1766666666667,10.45,0.78,11.2266666666667,266.05,0,45.3009765625,1.11,0,2.08999999999945,5,-1
"11902",6160,0,"SA",18,1,"P",1.19,139.375,9.68666666666667,1.02,49.32,9.01,0.19,13.9,136.49,0.2437018598,49.8828125,1.1,0,0.0399999999994205,5,-1
"11903",6036,0,"SE",24,1,"R",1.03,977,19.65,1.1,37.78,4.23,1.06,8.74,815.67,0.2475889917,72.296875,1,0,63.25,5,1
"11904",6061,400,"SA",19,1,"P",1.07,297.5,11,1,0,10.71,0.884090909090909,17.44,149.883333333333,0.1273139152,62.9296875,2,1,0,3,0
"11905",6050,0,"SF",19,1,"P",1.3,100,45,1,50.3166666666667,8.5225,0.846666666666667,13.97,298.35,0.3318542596,36.9375,1.05,1,0,3,-1
"11906",6159,1,"SA",22,1,"R",1,4350,2,3,0,13.5626666666667,4.39666666666667,23.18,3410,0.057176157,59.734375,1,3,1262,3,-1
"11907",6162,0,"SB",21,1,"P",1.22,250,7,3,49,9.66,2,14.91,323.96,0.4063512664,58.09375,1,2,0,3,3
"11908",5956,0,"SH",18,1,"P",1.29,332.333333333333,23,1,36.1133333333333,4,0.11,4,171.899285714286,0,78.40625,1.01,1,0,3,-1
"11909",6008,0,"SA",20,2,"P",1.2,950,13,1,30.4183333333333,6.21,0,3,383.45,0,52.6796875,1,1,851,3,-1
"11910",5967,0,"SO",18,1,"P",1.21,367.5,7,1.02,0,20,1,5,52.55,0,52.328125,1.05,0,1.28999999999945,5,-1
"11911",5964,0,"SC",19,0,"P",1.22,457.25,30,1,34.0533333333333,1,2,8,295.8475,0.053733628,72.796875,1,1,0,3,-1
"11912",6085,0,"SC",18,1,"P",1,140.952380952381,1,1,49.76,8,0,12,114.9,0.3614735566,32.1640625,1.11,1,0,3,-1
"11913",6118,1380,"SN",26,1.37,"R",1.23,2195.83333333333,9,1,41,20,5.14,20,901.416666666667,0,89.515625,1.12,1,0,3,4
"11914",6001,0,"SD",19,1,"P",1.26,298.142857142857,18,1.03,32.6075,13,0,27,194.08,0.7499102503,63.46875,1.1,0,1.02999999999942,5,-1
"11915",5959,0,"SO",21,1,"P",1.3,921.75,22,1.31,17.44,17,4,41,158.13,0,71.296875,1,0,43.57,5,0
"11916",6096,1,"SB",18,1,"P",1.062,252.5,12.8766666666667,1.08,72.196,10,0.11,43,162.426666666667,0.0543214702,53.4609375,2,0,11.6066666666665,5,0
"11917",5958,0,"SC",17,1,"P",1.37,292.5,28.755,1,55.445,16.1933333333333,0.19,29.92,141.51,0,68.0387109375,1.06,0,13.3999999999995,4,-1
"11918",5994,0,"SA",19,0.62,"P",1.21,180.5,13.26,1.04,31.84,10.79,0.626666666666667,17.97,89,0,65.7693416193182,1.01,0,0.639999999999365,4,-1
"11919",-6037,0,"SD",18,1,"P",1.19,170,12.5726666666667,1.01,43.95,14.02,0.23,26.88,74,0.0732717954,72.234375,1.04,0,-6.82973677612608e-13,5,-1
"11920",6071,0,"SB",37,1,"R",1.146,1721,22.19,1.61,26.65,5.26,3.6,9.3,1715.48,0.0196734856,71.15625,1.02,0,107.39,5,-1
"11921",6130,1,"SO",21,1.03,"R",1.226,731.5,29.1946212121212,1.1,24.93,3.49,0.74,6.73,505.4,0,56.7305859375,1.01,0,47.57,4,-1
"11922",6153,0,"SN",26,1,"H",2.6,4097.5,23.2,2.88666666666667,143.95,15.69,10.69,16.86,1541.5,0,8.146484375,1.76,0,725.81,5,2
"11923",-6164,1,"SC",28,1,"R",1.11,1321,26.055,1.18,24.67,4.84,0.88,10.06,1215.72,0,68.34375,1,0,129.61,5,0
"11924",-6073,0,"SO",25,0,"R",1.23,300,33,1,59.22,5.39,1.48,9.0625,424.33,0.0586610439,37.2578125,1,1,338,3,4
"11925",-6056,0,"FT",23,5,"R",1.43,2000,42,1,120.6,8.73,3.06,17.71,590,0.2290525786,62.8515625,2,1,1358,3,0
"11926",-6165,1,"SE",20,4,"P",1,887.166666666667,3,2,0,15.12,2,23.6933333333333,318.18,0,63.3671875,1,2,0,3,1
"11927",-5970,520,"SO",29,1,"R",1,544.5,4,2,55,3.42,2,6.395,775.55,0.3359348793,29.859375,1,1,0,3,2
"11928",-6027,0,"SD",23,1,"P",1,2846.5,2,3,0,14.3433333333333,9,16.965,1606.6825,1.2605205551,31.13671875,2,2,0,3,0
"11929",-6034,420,"SB",25,3,"R",1.37,250,12,1,35,5.52,0.93,10.52,398.11,0.158486939,32.6328125,2,1,0,3,2
"11930",-6024,0,"SA",29,1,"R",1.2,646,12,1,95,2.63,0,2,779.495,0.1246906384,50.2578125,1.19,1,0,3,-1
"11931",-6019,0,"SD",31,2,"R",1.5,3366,18,3.34,255.85,0,0,2,2532.605,0.007139461,9.16796875,1.22,0,777.29,5,-1
"11932",-6166,0,"SK",18,0,"P",1.24,223,7,1,57.26,8.19,0,1,193.87,0.0472630826,67.671875,1.09,1,0,3,-1
"11933",6023,0,"SF",18,1,"P",1.22,291,25,1,30.91,11.3666666666667,0.457777777777778,1,276.03,0.0769733021,73.03125,1.01,1,0,3,-1
"11934",-5952,0,"SH",19,1,"P",1.13,749.75,12,2,10.16,22,0,2,205.053333333333,0,68.375,1,1,0,3,1
"11935",-6140,0,"SO",20,1,"P",1.21,315,25.96,1.03,48.19,10,2,3,299.305,0.2744357539,56.328125,1.03,0,-5.15285591973225e-13,5,-1
"11936",-6048,0,"SB",18,1,"P",1.29,590.25,34.3380952380952,1.02,84.97,0,0,3,486.73,0,94.859375,1,0,33.2204347826086,5,0
"11937",5999,1,"SB",18,1,"P",1,412.166666666667,2,1,0,0,0,4,260.29,0.1674735444,56.578125,1,1,0,3,1
"11938",-6154,1500,"SM",27,2,"P",1,750,2,3,64,3,3,4,402,0.1983511411,50.9296875,2,3,1005,3,1
"11939",-6006,0,"SA",16,1,"P",1.24,207.583333333333,14,1.01,60.075,22,0.24,5,102.215,0.0164261714,45.9921875,1.16,0,-6.30677732260665e-13,5,-1
"11940",-6060,0,"SO",18,0,"P",1.24,159,11.246,1.01,39.14,4,0,5,70.27,0,74.453125,1.08,0,-6.24140739091672e-13,5,-1
"11941",6149,0,"SN",18,1,"P",1.23,264.5,6,1,38.8116666666667,10,0.42,4,131.96,0.1007889747,44.90625,1.1,1,0,3,-1
"11942",-6063,0,"SO",20,1,"P",2,569,4,2,324,16,3,4,311.32,0.0474563129,44.734375,1,2,74,2,-1
"11943",5997,0,"SB",18,1,"P",1.305,210.125,13,1,42.1,0,0.12,6,99.0992857142857,0,45.75,1.02,1,0,3,-1
"11944",6170,0,"SF",18,1,"P",1.22,215.333333333333,23,1,32.73,13,0,6,150.99,0.3191332901,60.40625,1.06,1,0,3,-1
"11945",-5982,0,"SD",23,1,"P",1.12,1800,10,3,35,12,5,6,1736,0.2536004186,53.6171875,1,2,68,3,2
"11946",5976,0,"SB",19,1,"P",1.24,585.833333333333,32.0543831168831,1.24,33.19,28,1.25666666666667,5,374.86,0.352271569,27.33984375,1.05,0,51.5321428571428,5,-1
